"filename", "language", "Lua", "SQL", "Markdown", "JavaScript", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\FX-Server\server-data\resources\[scripts]\[qb]\qb-phone\README.md", "Markdown", 0, 0, 111, 0, 0, 0, 0, 14, 125
"c:\Users\Administrator\Desktop\FX-Server\server-data\resources\[scripts]\[qb]\qb-phone\__resource.lua", "Lua", 27, 0, 0, 0, 0, 0, 1, 5, 33
"c:\Users\Administrator\Desktop\FX-Server\server-data\resources\[scripts]\[qb]\qb-phone\client\animation.lua", "Lua", 108, 0, 0, 0, 0, 0, 0, 19, 127
"c:\Users\Administrator\Desktop\FX-Server\server-data\resources\[scripts]\[qb]\qb-phone\client\main.lua", "Lua", 2624, 0, 0, 0, 0, 0, 96, 368, 3088
"c:\Users\Administrator\Desktop\FX-Server\server-data\resources\[scripts]\[qb]\qb-phone\config.lua", "Lua", 225, 0, 0, 0, 0, 0, 13, 12, 250
"c:\Users\Administrator\Desktop\FX-Server\server-data\resources\[scripts]\[qb]\qb-phone\html\css\arrests.css", "CSS", 0, 0, 0, 0, 0, 110, 0, 27, 137
"c:\Users\Administrator\Desktop\FX-Server\server-data\resources\[scripts]\[qb]\qb-phone\html\css\bank.css", "CSS", 0, 0, 0, 0, 0, 491, 66, 25, 582
"c:\Users\Administrator\Desktop\FX-Server\server-data\resources\[scripts]\[qb]\qb-phone\html\css\calculator.css", "CSS", 0, 0, 0, 0, 0, 94, 0, 10, 104
"c:\Users\Administrator\Desktop\FX-Server\server-data\resources\[scripts]\[qb]\qb-phone\html\css\clock.css", "CSS", 0, 0, 0, 0, 0, 418, 3, 59, 480
"c:\Users\Administrator\Desktop\FX-Server\server-data\resources\[scripts]\[qb]\qb-phone\html\css\crypto.css", "CSS", 0, 0, 0, 0, 0, 539, 19, 76, 634
"c:\Users\Administrator\Desktop\FX-Server\server-data\resources\[scripts]\[qb]\qb-phone\html\css\emergency.css", "CSS", 0, 0, 0, 0, 0, 110, 0, 26, 136
"c:\Users\Administrator\Desktop\FX-Server\server-data\resources\[scripts]\[qb]\qb-phone\html\css\fonts.css", "CSS", 0, 0, 0, 0, 0, 108, 0, 25, 133
